,RAPE,LARCENY,BURGLARY,LARCENY FROM AUTO,AGG. ASSAULT,COMMON ASSAULT,AUTO THEFT,ROBBERY - STREET,ROBBERY - COMMERCIAL,ROBBERY - RESIDENCE,HOMICIDE,SHOOTING,ROBBERY - CARJACKING,ARSON
2014-03-18,0.0,23,17,17,11,26,8,3,1,1,0.0,0,0.0,0.0
2014-03-19,0.0,29,13,6,14,14,10,6,1,1,0.0,0,0.0,0.0
2014-03-20,1.0,20,14,18,19,16,5,2,1,3,0.0,0,0.0,0.0
2014-03-21,1.0,21,18,17,9,28,9,2,0,0,0.0,0,1.0,0.0
2014-03-22,1.0,15,19,30,18,18,12,2,0,2,0.0,0,1.0,1.0
2014-03-23,3.0,24,8,28,15,16,6,5,1,1,0.0,0,0.0,1.0
2014-03-24,0.0,32,19,12,11,36,10,6,3,1,0.0,1,0.0,0.0
2014-03-25,1.0,34,22,15,12,18,10,3,3,0,1.0,2,0.0,0.0
2014-03-26,1.0,25,12,22,12,17,7,2,1,0,0.0,0,0.0,0.0
2014-03-27,1.0,38,18,10,20,26,11,10,3,0,1.0,1,1.0,1.0
2014-03-28,1.0,27,13,23,10,23,14,4,3,0,0.0,2,1.0,1.0
2014-03-29,1.0,21,12,13,7,19,11,4,1,1,0.0,0,1.0,0.0
2014-03-30,0.0,26,7,12,9,19,12,2,2,0,0.0,0,2.0,1.0
2014-03-31,2.0,47,14,13,10,30,9,10,1,0,1.0,4,0.0,0.0
2014-04-01,2.0,41,19,12,16,21,8,4,0,0,0.0,1,0.0,0.0
2014-04-02,2.0,46,16,11,11,19,9,3,0,0,0.0,0,0.0,0.0
2014-04-03,0.0,30,16,21,14,20,8,7,0,0,1.0,0,0.0,1.0
2014-04-04,0.0,37,18,19,14,29,12,8,0,0,1.0,0,0.0,0.0
2014-04-05,1.0,28,10,18,15,22,11,6,1,3,0.0,1,0.0,0.0
2014-04-06,1.0,24,5,9,13,26,12,4,0,1,1.0,1,0.0,1.0
2014-04-07,1.0,32,14,15,9,24,11,4,0,0,0.0,0,1.0,1.0
2014-04-08,2.0,29,19,14,8,25,13,5,1,1,1.0,0,0.0,1.0
2014-04-09,0.0,42,15,16,11,25,8,6,5,0,0.0,1,0.0,0.0
2014-04-10,1.0,29,13,24,9,20,11,5,0,0,0.0,1,1.0,0.0
2014-04-11,0.0,34,18,14,14,18,10,5,0,0,0.0,0,0.0,1.0
2014-04-12,0.0,38,18,14,9,27,7,6,1,0,0.0,0,0.0,0.0
2014-04-13,1.0,24,11,12,19,33,17,7,0,1,0.0,3,1.0,2.0
2014-04-14,1.0,43,21,19,13,19,10,9,1,2,1.0,1,1.0,1.0
2014-04-15,0.0,39,20,11,12,13,8,1,1,0,1.0,0,3.0,0.0
2014-04-16,1.0,29,21,12,15,15,12,8,0,0,1.0,0,0.0,1.0
2014-04-17,0.0,34,13,27,13,21,9,6,2,1,1.0,1,0.0,0.0
2014-04-18,0.0,34,16,14,13,21,10,4,3,2,1.0,1,1.0,0.0
2014-04-19,0.0,33,12,13,17,25,5,8,1,0,0.0,1,0.0,4.0
2014-04-20,1.0,31,11,15,19,28,4,5,0,1,0.0,2,0.0,1.0
2014-04-21,1.0,31,17,18,14,19,11,5,0,1,0.0,1,0.0,1.0
2014-04-22,0.0,22,25,21,12,23,9,4,2,0,1.0,0,0.0,3.0
2014-04-23,0.0,37,27,24,14,25,6,3,1,2,0.0,0,0.0,0.0
2014-04-24,0.0,24,18,21,16,25,8,7,1,2,0.0,1,1.0,0.0
2014-04-25,0.0,33,22,12,15,27,16,10,0,1,0.0,1,0.0,0.0
2014-04-26,0.0,46,13,14,15,27,10,3,1,3,0.0,1,0.0,1.0
2014-04-27,1.0,30,15,10,21,38,12,4,1,3,2.0,3,1.0,2.0
2014-04-28,1.0,39,26,14,15,24,11,8,1,2,0.0,1,0.0,2.0
2014-04-29,2.0,28,12,18,8,26,12,9,1,1,0.0,0,0.0,0.0
2014-04-30,0.0,32,12,16,6,20,10,7,4,2,0.0,1,0.0,0.0
2014-05-01,0.0,41,16,14,12,24,11,11,1,0,0.0,1,0.0,1.0
2014-05-02,1.0,32,25,13,15,22,10,6,1,1,0.0,1,0.0,0.0
2014-05-03,0.0,24,15,17,13,24,4,7,2,1,3.0,1,0.0,0.0
2014-05-04,1.0,40,13,18,11,22,5,8,1,1,0.0,0,0.0,2.0
2014-05-05,0.0,39,18,16,14,25,7,4,3,1,1.0,4,0.0,0.0
2014-05-06,1.0,35,24,15,13,27,8,9,0,1,1.0,1,1.0,1.0
2014-05-07,1.0,34,18,12,13,25,15,8,1,2,1.0,0,1.0,2.0
2014-05-08,1.0,35,25,22,7,24,9,2,1,2,0.0,1,1.0,1.0
2014-05-09,1.0,39,27,19,17,19,9,11,0,0,1.0,1,2.0,0.0
2014-05-10,0.0,27,13,12,12,28,12,6,2,2,0.0,0,0.0,0.0
2014-05-11,0.0,21,16,18,16,25,11,11,1,1,2.0,0,0.0,1.0
2014-05-12,1.0,26,22,16,14,20,16,9,3,1,1.0,1,0.0,1.0
2014-05-13,0.0,29,16,26,17,20,8,10,2,1,0.0,0,0.0,0.0
2014-05-14,0.0,33,32,18,12,26,9,5,1,0,0.0,1,1.0,0.0
2014-05-15,0.0,36,21,26,13,30,15,4,0,3,1.0,0,0.0,0.0
2014-05-16,0.0,43,23,23,14,18,16,2,0,1,1.0,3,1.0,1.0
2014-05-17,0.0,45,15,18,21,36,16,4,2,1,1.0,5,0.0,2.0
2014-05-18,1.0,27,17,17,10,25,10,11,0,0,0.0,0,0.0,0.0
2014-05-19,1.0,52,16,16,8,21,9,8,2,0,0.0,1,0.0,1.0
