,RAPE,LARCENY,BURGLARY,LARCENY FROM AUTO,AGG. ASSAULT,COMMON ASSAULT,AUTO THEFT,ROBBERY - STREET,ROBBERY - COMMERCIAL,ROBBERY - RESIDENCE,HOMICIDE,SHOOTING,ROBBERY - CARJACKING,ARSON
2014-11-11,1.0,35,26,7,14,24,10,13,2,3,0.0,1,0.0,2.0
2014-11-12,0.0,29,17,20,10,21,13,12,1,1,0.0,4,0.0,1.0
2014-11-13,0.0,30,14,20,7,22,9,12,2,1,0.0,0,1.0,0.0
2014-11-14,0.0,25,24,8,12,25,12,12,3,1,0.0,2,1.0,1.0
2014-11-15,0.0,33,14,15,16,20,8,6,5,1,0.0,1,1.0,0.0
2014-11-16,0.0,12,10,15,14,22,11,3,1,0,0.0,0,1.0,3.0
2014-11-17,0.0,29,17,20,7,16,9,7,2,1,0.0,1,0.0,0.0
2014-11-18,1.0,50,21,18,7,24,11,4,2,1,1.0,0,0.0,0.0
2014-11-19,1.0,29,19,17,12,17,8,6,2,2,2.0,0,0.0,2.0
2014-11-20,1.0,32,28,12,8,9,8,6,2,0,1.0,1,2.0,0.0
2014-11-21,0.0,29,28,12,14,22,14,12,2,1,0.0,0,0.0,1.0
2014-11-22,1.0,33,13,26,15,21,13,9,4,2,0.0,2,0.0,1.0
2014-11-23,1.0,12,22,25,14,25,11,7,0,2,0.0,1,0.0,3.0
2014-11-24,1.0,31,28,28,13,20,12,21,0,3,0.0,1,0.0,0.0
2014-11-25,0.0,26,16,14,13,23,9,8,0,2,1.0,1,1.0,0.0
2014-11-26,0.0,28,39,18,11,10,10,8,1,0,0.0,4,1.0,0.0
2014-11-27,0.0,20,16,15,8,10,1,9,2,3,0.0,1,1.0,1.0
2014-11-28,1.0,36,16,18,11,19,11,8,1,2,0.0,0,0.0,3.0
2014-11-29,1.0,28,21,17,9,16,7,7,5,0,0.0,1,3.0,2.0
2014-11-30,2.0,27,13,15,13,21,12,9,2,0,1.0,0,0.0,0.0
2014-12-01,0.0,50,29,17,20,19,8,16,1,4,2.0,5,1.0,0.0
2014-12-02,2.0,32,21,13,8,10,7,7,2,4,1.0,1,1.0,0.0
2014-12-03,2.0,24,16,21,18,23,7,8,1,4,0.0,1,0.0,0.0
2014-12-04,0.0,40,20,16,1,23,9,6,2,0,0.0,0,1.0,0.0
2014-12-05,0.0,25,40,20,6,20,10,11,0,0,0.0,0,0.0,0.0
2014-12-06,0.0,29,13,17,10,17,8,2,2,0,0.0,1,1.0,0.0
2014-12-07,0.0,25,10,17,11,19,8,5,2,2,1.0,0,0.0,0.0
2014-12-08,1.0,38,20,20,12,23,8,11,3,2,0.0,0,1.0,0.0
2014-12-09,0.0,24,24,12,13,14,9,5,3,1,1.0,2,0.0,2.0
2014-12-10,1.0,25,31,19,7,11,5,9,2,0,0.0,1,3.0,0.0
2014-12-11,0.0,31,12,20,15,12,9,13,1,1,0.0,2,1.0,0.0
2014-12-12,2.0,32,27,20,13,24,5,18,1,1,0.0,1,0.0,0.0
2014-12-13,1.0,20,15,28,10,19,10,9,0,0,0.0,2,1.0,0.0
2014-12-14,3.0,21,13,26,10,22,8,5,6,6,2.0,1,0.0,2.0
2014-12-15,0.0,39,20,16,9,14,5,10,8,0,0.0,0,0.0,1.0
2014-12-16,0.0,29,25,32,6,14,10,11,0,0,1.0,2,2.0,0.0
2014-12-17,0.0,29,30,14,8,18,12,7,3,1,0.0,1,0.0,0.0
2014-12-18,0.0,37,28,19,8,9,10,5,2,1,0.0,0,0.0,0.0
2014-12-19,0.0,40,21,21,8,13,8,12,1,0,0.0,1,2.0,1.0
2014-12-20,0.0,26,22,18,18,12,17,6,3,2,2.0,2,1.0,0.0
2014-12-21,1.0,18,14,22,8,21,7,5,3,0,0.0,0,1.0,0.0
2014-12-22,1.0,46,31,36,9,16,7,2,3,1,1.0,1,0.0,1.0
2014-12-23,0.0,26,24,14,12,17,10,10,1,1,0.0,2,1.0,0.0
2014-12-24,0.0,34,20,9,6,16,23,5,6,0,0.0,1,1.0,0.0
2014-12-25,0.0,15,9,12,9,21,8,6,1,0,1.0,0,1.0,0.0
2014-12-26,0.0,19,10,16,5,11,3,5,4,2,0.0,0,0.0,1.0
2014-12-27,1.0,28,11,23,6,18,8,7,1,0,0.0,2,2.0,0.0
2014-12-28,0.0,18,9,22,17,26,13,7,1,1,1.0,2,0.0,0.0
2014-12-29,3.0,16,16,12,7,10,9,14,7,2,0.0,1,1.0,0.0
2014-12-30,0.0,26,21,18,11,11,6,9,3,2,1.0,1,2.0,0.0
2014-12-31,0.0,37,26,12,9,11,6,6,1,0,1.0,0,0.0,0.0
2015-01-01,2.0,39,24,17,19,28,15,9,1,2,0.0,2,1.0,1.0
2015-01-02,1.0,32,22,12,3,7,9,10,5,6,0.0,0,1.0,0.0
2015-01-03,0.0,11,10,9,8,11,10,7,0,2,3.0,1,0.0,2.0
2015-01-04,0.0,20,5,22,6,15,11,11,2,1,2.0,0,1.0,0.0
2015-01-05,1.0,32,22,24,7,15,10,3,2,4,1.0,0,1.0,0.0
2015-01-06,0.0,30,5,9,7,11,14,3,4,2,0.0,1,0.0,1.0
2015-01-07,0.0,32,19,11,11,13,11,5,2,0,0.0,2,1.0,1.0
2015-01-08,0.0,23,13,10,4,12,8,9,1,0,0.0,1,1.0,2.0
2015-01-09,1.0,29,19,12,10,13,6,6,0,1,2.0,2,1.0,1.0
2015-01-10,0.0,23,10,7,5,18,15,4,1,0,1.0,0,0.0,0.0
2015-01-11,1.0,20,14,13,10,19,6,6,2,1,0.0,0,0.0,0.0
2015-01-12,1.0,26,21,10,23,19,13,7,2,1,1.0,1,1.0,0.0
2015-01-13,1.0,44,17,19,8,17,15,8,3,1,0.0,1,1.0,0.0
2015-01-14,1.0,37,25,17,10,14,13,4,3,0,0.0,1,1.0,1.0
2015-01-15,0.0,44,24,22,5,18,15,8,4,1,0.0,0,0.0,1.0
2015-01-16,0.0,36,33,20,10,17,5,4,2,1,0.0,2,0.0,0.0
2015-01-17,1.0,27,13,32,17,15,9,3,5,0,1.0,4,0.0,1.0
2015-01-18,1.0,21,21,21,11,8,10,4,7,5,2.0,0,0.0,0.0
2015-01-19,0.0,29,23,24,15,12,15,11,3,2,0.0,2,4.0,1.0
2015-01-20,1.0,33,30,17,8,9,8,10,1,1,0.0,1,1.0,1.0
2015-01-21,0.0,30,22,15,10,19,13,5,6,1,0.0,0,2.0,0.0
2015-01-22,0.0,31,16,26,8,20,6,5,1,0,0.0,1,1.0,0.0
2015-01-23,0.0,35,25,17,9,19,16,6,5,4,0.0,2,1.0,1.0
2015-01-24,0.0,24,19,22,9,21,13,5,5,1,1.0,0,1.0,2.0
2015-01-25,0.0,18,16,10,10,15,11,4,1,2,1.0,0,0.0,0.0
2015-01-26,0.0,28,19,15,18,12,7,5,4,2,1.0,2,0.0,0.0
2015-01-27,1.0,37,22,19,10,18,12,3,4,4,0.0,2,0.0,0.0
2015-01-28,0.0,27,21,19,6,17,12,5,6,5,1.0,1,1.0,0.0
2015-01-29,1.0,28,15,16,12,19,6,10,2,0,3.0,2,0.0,2.0
2015-01-30,0.0,29,24,15,8,23,9,12,1,0,1.0,1,0.0,0.0
2015-01-31,0.0,25,12,16,9,18,15,2,0,0,1.0,1,1.0,0.0
2015-02-01,0.0,21,22,11,16,24,5,3,0,0,2.0,1,0.0,1.0
2015-02-02,2.0,28,20,19,19,16,12,5,1,0,0.0,1,0.0,1.0
2015-02-03,0.0,25,19,16,5,17,9,9,4,0,1.0,0,0.0,0.0
2015-02-04,2.0,26,12,14,3,24,6,8,0,0,0.0,0,1.0,1.0
2015-02-05,0.0,28,20,14,13,15,8,5,2,0,0.0,0,0.0,2.0
2015-02-06,0.0,27,18,12,9,19,11,5,1,1,0.0,0,0.0,2.0
2015-02-07,0.0,20,9,12,15,21,10,7,0,1,0.0,0,1.0,1.0
2015-02-08,0.0,9,6,7,5,24,6,2,0,3,0.0,0,0.0,1.0
2015-02-09,1.0,30,17,12,10,20,11,4,1,2,0.0,1,1.0,0.0
2015-02-10,0.0,30,18,14,6,11,6,11,2,1,0.0,0,2.0,0.0
2015-02-11,0.0,28,19,14,13,18,5,3,1,1,1.0,0,0.0,0.0
2015-02-12,0.0,25,10,10,9,20,11,4,2,0,2.0,4,0.0,0.0
2015-02-13,0.0,32,16,17,10,16,17,12,3,0,0.0,0,1.0,0.0
2015-02-14,1.0,23,11,9,6,18,7,3,2,1,1.0,0,0.0,0.0
2015-02-15,0.0,20,14,7,7,15,3,7,1,1,0.0,0,0.0,0.0
2015-02-16,0.0,15,12,11,3,8,11,4,1,0,0.0,1,0.0,0.0
2015-02-17,1.0,19,6,7,7,16,11,3,2,1,0.0,0,0.0,0.0
2015-02-18,1.0,31,17,4,7,14,5,8,2,1,0.0,0,0.0,0.0
2015-02-19,0.0,26,13,3,6,12,13,1,1,0,0.0,1,0.0,0.0
2015-02-20,0.0,19,15,11,11,15,19,1,0,1,0.0,1,0.0,0.0
2015-02-21,0.0,11,10,7,6,14,10,5,0,1,1.0,0,0.0,0.0
2015-02-22,0.0,17,11,9,6,19,9,2,1,0,1.0,0,0.0,1.0
2015-02-23,2.0,17,12,11,7,18,5,2,3,2,0.0,0,0.0,0.0
2015-02-24,1.0,25,6,10,3,21,9,1,2,0,2.0,0,2.0,0.0
2015-02-25,1.0,30,21,19,10,15,10,5,1,1,1.0,1,0.0,1.0
2015-02-26,0.0,25,11,15,8,17,6,8,1,0,0.0,1,0.0,0.0
2015-02-27,0.0,35,15,7,12,15,9,7,1,0,0.0,0,0.0,0.0
2015-02-28,0.0,22,11,15,9,22,9,8,2,1,1.0,3,0.0,0.0
2015-03-01,0.0,34,8,5,10,12,5,1,1,0,0.0,1,0.0,0.0
2015-03-02,1.0,15,8,10,11,15,10,4,2,0,2.0,0,0.0,0.0
2015-03-03,0.0,29,19,14,7,16,5,6,1,1,1.0,1,1.0,0.0
2015-03-04,4.0,17,14,18,12,16,13,4,1,1,0.0,0,1.0,0.0
2015-03-05,0.0,14,10,2,6,11,4,5,0,1,0.0,0,1.0,0.0
2015-03-06,1.0,29,10,8,8,12,5,8,5,2,0.0,2,1.0,1.0
2015-03-07,0.0,14,12,13,9,14,8,4,5,0,0.0,2,0.0,2.0
2015-03-08,2.0,22,13,16,8,19,12,4,4,3,0.0,1,0.0,0.0
2015-03-09,0.0,22,18,15,5,19,7,5,1,0,0.0,1,0.0,1.0
2015-03-10,2.0,33,18,18,8,19,6,6,2,2,1.0,0,0.0,0.0
2015-03-11,2.0,24,17,20,15,19,13,6,1,2,0.0,2,2.0,0.0
2015-03-12,1.0,38,22,22,10,17,11,9,2,0,2.0,1,2.0,0.0
2015-03-13,0.0,29,23,23,10,24,5,7,0,4,0.0,2,1.0,0.0
2015-03-14,3.0,24,15,20,11,23,11,3,3,1,0.0,0,0.0,1.0
2015-03-15,0.0,33,12,13,8,10,6,11,1,1,0.0,2,2.0,0.0
2015-03-16,0.0,28,22,23,10,17,8,9,0,1,0.0,1,0.0,2.0
2015-03-17,2.0,37,24,18,10,27,7,9,3,4,1.0,2,0.0,0.0
2015-03-18,2.0,25,18,19,11,22,6,5,3,1,0.0,0,0.0,0.0
2015-03-19,0.0,38,8,22,10,18,5,4,3,2,0.0,0,0.0,1.0
2015-03-20,0.0,27,25,15,15,20,13,3,1,0,0.0,2,0.0,0.0
2015-03-21,0.0,33,17,16,16,12,11,7,0,0,0.0,1,1.0,2.0
2015-03-22,0.0,20,10,9,20,19,9,9,1,2,0.0,0,1.0,0.0
2015-03-23,1.0,30,30,12,17,16,9,3,1,0,2.0,1,1.0,0.0
2015-03-24,4.0,29,16,13,8,22,10,4,0,0,1.0,1,0.0,1.0
2015-03-25,0.0,25,20,26,6,21,10,8,2,0,0.0,0,0.0,0.0
2015-03-26,0.0,30,13,17,16,18,8,10,0,1,1.0,0,0.0,0.0
2015-03-27,1.0,36,22,30,12,23,8,5,1,1,1.0,1,1.0,1.0
2015-03-28,1.0,25,22,23,15,18,6,4,1,0,1.0,2,0.0,1.0
2015-03-29,0.0,25,10,13,13,20,8,2,4,0,0.0,0,0.0,0.0
2015-03-30,0.0,37,12,10,11,21,8,5,1,4,2.0,1,0.0,3.0
2015-03-31,0.0,33,22,7,9,24,5,2,0,1,0.0,0,0.0,3.0
2015-04-01,3.0,33,19,12,7,24,13,6,1,0,0.0,0,0.0,0.0
2015-04-02,0.0,34,17,17,22,18,11,4,1,0,0.0,7,1.0,0.0
2015-04-03,1.0,27,17,31,16,19,9,4,1,1,0.0,2,0.0,0.0
2015-04-04,0.0,27,17,9,9,24,11,8,0,1,3.0,0,0.0,0.0
2015-04-05,0.0,21,10,9,5,26,7,5,0,3,0.0,1,0.0,2.0
2015-04-06,1.0,35,23,18,7,20,7,3,3,2,0.0,0,1.0,2.0
2015-04-07,1.0,23,15,23,11,8,7,5,0,3,1.0,2,0.0,2.0
2015-04-08,1.0,28,11,13,13,12,12,5,2,1,1.0,1,1.0,0.0
2015-04-09,0.0,32,11,22,4,14,14,3,1,2,0.0,0,2.0,0.0
2015-04-10,1.0,28,10,15,7,17,5,7,1,0,1.0,0,1.0,0.0
2015-04-11,2.0,31,20,10,9,19,13,6,1,0,0.0,0,1.0,1.0
2015-04-12,3.0,21,16,14,10,23,5,5,0,1,0.0,0,2.0,0.0
2015-04-13,1.0,40,20,8,8,14,6,5,0,0,1.0,1,0.0,1.0
2015-04-14,1.0,21,21,26,7,17,8,6,1,1,0.0,0,0.0,0.0
2015-04-15,0.0,28,23,22,11,25,9,12,1,0,0.0,1,0.0,1.0
2015-04-16,2.0,36,30,22,11,19,9,5,3,2,0.0,0,0.0,0.0
2015-04-17,2.0,30,18,23,17,8,10,4,1,3,3.0,2,2.0,0.0
2015-04-18,3.0,22,11,20,15,35,8,8,3,0,0.0,2,1.0,0.0
2015-04-19,0.0,32,15,15,15,23,11,5,0,1,0.0,0,1.0,0.0
2015-04-20,0.0,22,22,23,7,25,9,7,6,1,0.0,1,0.0,1.0
2015-04-21,0.0,25,22,21,14,23,10,7,1,0,2.0,2,0.0,0.0
2015-04-22,2.0,23,13,17,11,19,8,12,0,0,0.0,1,1.0,1.0
2015-04-23,2.0,31,25,22,9,23,14,7,1,0,1.0,0,0.0,0.0
2015-04-24,2.0,29,25,25,22,14,8,5,1,1,1.0,1,0.0,0.0
2015-04-25,0.0,27,30,18,41,24,14,7,3,1,1.0,1,1.0,0.0
2015-04-26,2.0,15,21,13,6,12,8,9,2,0,2.0,2,2.0,3.0
2015-04-27,1.0,25,210,15,90,11,29,9,13,1,0.0,0,7.0,10.0
2015-04-28,3.0,16,98,9,12,8,5,8,2,0,1.0,5,3.0,14.0
2015-04-29,0.0,14,21,12,12,19,6,8,0,2,3.0,2,1.0,4.0
2015-04-30,2.0,19,26,13,12,17,10,7,1,4,2.0,3,1.0,1.0
2015-05-01,0.0,42,27,13,8,13,9,8,3,0,1.0,2,0.0,1.0
2015-05-02,0.0,19,10,12,11,16,9,6,1,3,1.0,1,2.0,1.0
2015-05-03,1.0,14,11,8,17,25,8,5,1,1,1.0,1,1.0,2.0
2015-05-04,1.0,27,17,18,11,13,10,14,0,0,2.0,4,4.0,0.0
2015-05-05,0.0,28,28,21,25,23,16,7,2,2,0.0,4,2.0,0.0
2015-05-06,0.0,35,25,17,12,15,12,10,2,5,1.0,0,0.0,1.0
2015-05-07,1.0,32,20,17,21,23,11,6,2,3,2.0,6,0.0,1.0
2015-05-08,2.0,24,19,12,18,25,10,8,2,2,0.0,0,0.0,3.0
2015-05-09,3.0,26,20,13,14,26,13,2,1,3,0.0,2,0.0,1.0
2015-05-10,1.0,21,14,23,17,38,8,6,4,3,4.0,5,2.0,3.0
2015-05-11,0.0,30,23,23,25,21,14,8,2,0,1.0,5,1.0,0.0
2015-05-12,0.0,25,29,20,11,32,9,6,5,6,0.0,2,1.0,1.0
2015-05-13,0.0,25,18,19,10,19,22,4,1,1,0.0,2,1.0,0.0
2015-05-14,2.0,30,29,18,9,23,12,1,2,0,4.0,0,0.0,1.0
2015-05-15,3.0,35,32,26,25,24,11,6,4,0,2.0,3,1.0,0.0
2015-05-16,0.0,29,25,18,19,13,13,8,2,2,0.0,8,0.0,0.0
2015-05-17,1.0,21,16,18,9,17,12,5,2,1,2.0,0,0.0,1.0
2015-05-18,1.0,18,22,18,17,20,16,11,3,3,0.0,3,0.0,0.0
2015-05-19,1.0,21,28,27,20,21,11,14,4,1,0.0,6,1.0,0.0
2015-05-20,1.0,28,25,23,21,20,10,20,5,5,3.0,9,0.0,3.0
2015-05-21,0.0,33,23,16,10,23,12,16,9,2,1.0,1,0.0,1.0
2015-05-22,0.0,25,27,18,16,24,13,23,9,0,2.0,2,2.0,2.0
2015-05-23,2.0,31,16,17,30,15,8,6,1,1,3.0,5,0.0,2.0
2015-05-24,0.0,19,16,22,16,16,13,12,0,1,1.0,6,0.0,2.0
2015-05-25,1.0,33,21,19,27,18,9,3,2,1,2.0,7,0.0,0.0
2015-05-26,2.0,42,27,22,17,28,19,15,2,0,1.0,3,0.0,0.0
2015-05-27,0.0,38,25,28,14,17,20,14,4,1,0.0,2,1.0,0.0
2015-05-28,1.0,42,28,25,15,18,17,18,2,2,2.0,1,2.0,0.0
2015-05-29,1.0,34,30,26,18,21,15,23,5,0,2.0,2,1.0,0.0
2015-05-30,1.0,37,14,22,12,20,25,19,2,0,0.0,5,0.0,1.0
2015-05-31,0.0,31,12,18,14,27,13,4,4,1,3.0,3,1.0,3.0
2015-06-01,2.0,36,23,23,13,25,10,10,3,0,1.0,1,0.0,1.0
2015-06-02,0.0,28,23,36,25,19,13,13,4,2,5.0,3,1.0,2.0
2015-06-03,1.0,24,24,25,11,18,8,7,3,1,0.0,0,2.0,0.0
2015-06-04,3.0,36,18,21,12,13,20,9,1,0,0.0,0,0.0,0.0
2015-06-05,0.0,37,16,15,10,19,17,6,1,2,0.0,0,0.0,1.0
2015-06-06,1.0,38,24,32,21,26,15,12,3,2,1.0,4,0.0,1.0
2015-06-07,2.0,29,27,27,17,29,17,6,0,4,3.0,3,1.0,3.0
2015-06-08,1.0,43,23,26,21,17,14,8,5,0,3.0,3,0.0,0.0
2015-06-09,0.0,36,28,30,15,13,13,20,2,2,0.0,3,0.0,1.0
2015-06-10,0.0,37,22,15,12,22,14,9,1,2,0.0,3,0.0,0.0
2015-06-11,0.0,41,40,31,11,18,20,6,3,1,1.0,0,2.0,0.0
2015-06-12,0.0,36,25,24,18,16,16,20,2,4,4.0,3,0.0,1.0
2015-06-13,1.0,35,17,19,18,26,23,5,2,2,0.0,0,0.0,3.0
2015-06-14,1.0,21,19,13,18,27,16,11,2,2,1.0,4,0.0,0.0
2015-06-15,1.0,30,20,21,13,20,27,7,6,4,1.0,1,1.0,0.0
2015-06-16,0.0,21,15,31,12,23,13,11,3,0,1.0,1,0.0,1.0
2015-06-17,1.0,35,25,26,14,22,17,12,2,1,0.0,6,2.0,0.0
2015-06-18,2.0,32,15,24,10,10,15,11,2,0,0.0,2,2.0,0.0
2015-06-19,3.0,40,27,25,15,18,18,8,0,0,0.0,3,1.0,0.0
2015-06-20,0.0,21,10,25,16,31,18,9,5,2,0.0,1,1.0,0.0
2015-06-21,1.0,28,20,18,17,28,22,10,0,4,1.0,2,0.0,0.0
2015-06-22,2.0,32,21,39,21,27,20,5,3,1,1.0,3,2.0,0.0
2015-06-23,1.0,29,22,30,19,17,12,8,11,0,1.0,1,0.0,0.0
2015-06-24,0.0,30,20,30,15,10,17,5,4,1,0.0,1,1.0,2.0
2015-06-25,1.0,39,16,22,13,17,19,10,7,4,1.0,0,0.0,2.0
2015-06-26,1.0,31,21,14,12,38,14,6,5,1,0.0,1,0.0,1.0
2015-06-27,1.0,27,13,18,12,20,17,8,8,2,1.0,0,0.0,2.0
2015-06-28,2.0,33,17,17,15,25,24,8,6,0,2.0,5,1.0,0.0
2015-06-29,1.0,27,25,31,25,24,11,21,3,2,1.0,6,1.0,1.0
2015-06-30,1.0,25,20,14,13,21,10,9,5,0,0.0,5,0.0,1.0
2015-07-01,2.0,31,18,21,15,13,15,11,6,1,0.0,6,2.0,0.0
2015-07-02,0.0,31,26,21,31,18,18,5,8,2,2.0,5,0.0,1.0
2015-07-03,0.0,33,19,24,16,16,17,10,9,1,1.0,2,1.0,1.0
2015-07-04,4.0,27,16,18,15,25,19,8,2,1,0.0,2,1.0,4.0
2015-07-05,2.0,19,22,18,18,26,15,11,1,0,1.0,1,3.0,2.0
2015-07-06,0.0,22,21,28,13,15,13,11,5,1,2.0,1,2.0,2.0
2015-07-07,0.0,38,23,28,11,26,15,15,2,2,5.0,2,1.0,1.0
2015-07-08,1.0,30,25,25,16,17,18,13,1,2,1.0,1,2.0,0.0
2015-07-09,0.0,19,28,20,20,20,23,16,4,1,0.0,3,1.0,0.0
2015-07-10,1.0,39,17,22,14,18,15,11,2,1,2.0,2,0.0,1.0
2015-07-11,0.0,25,19,24,20,20,16,8,4,1,3.0,4,3.0,0.0
2015-07-12,1.0,28,12,20,25,25,17,19,1,0,4.0,7,1.0,0.0
2015-07-13,0.0,34,31,21,12,26,13,17,2,2,2.0,2,3.0,1.0
2015-07-14,0.0,46,25,24,20,14,14,11,5,1,0.0,2,1.0,2.0
2015-07-15,0.0,29,19,30,21,11,19,14,1,0,3.0,7,0.0,0.0
2015-07-16,0.0,28,26,35,7,16,11,12,5,1,0.0,1,0.0,2.0
2015-07-17,1.0,22,14,20,15,24,21,11,0,1,0.0,1,0.0,1.0
2015-07-18,0.0,25,19,20,18,29,19,12,1,1,0.0,2,2.0,0.0
2015-07-19,1.0,31,12,22,21,16,26,12,2,2,1.0,1,1.0,0.0
2015-07-20,1.0,35,27,26,19,21,21,9,1,0,0.0,3,0.0,2.0
2015-07-21,0.0,31,25,17,11,18,16,11,4,0,3.0,2,0.0,2.0
2015-07-22,0.0,28,23,22,20,13,15,9,4,2,1.0,6,1.0,0.0
2015-07-23,1.0,37,22,26,12,27,11,10,4,0,2.0,1,0.0,1.0
2015-07-24,0.0,29,33,15,19,23,16,8,4,1,1.0,2,2.0,1.0
2015-07-25,1.0,46,20,15,20,22,17,13,4,0,1.0,3,1.0,1.0
2015-07-26,0.0,35,30,27,26,20,16,9,0,7,2.0,4,2.0,0.0
2015-07-27,0.0,23,36,26,16,21,22,9,8,1,1.0,3,1.0,1.0
2015-07-28,0.0,42,27,18,13,22,17,9,2,0,2.0,0,1.0,1.0
2015-07-29,0.0,22,26,17,13,18,12,11,4,2,2.0,3,3.0,1.0
2015-07-30,0.0,35,18,13,13,14,19,12,1,2,1.0,1,1.0,3.0
2015-07-31,1.0,40,19,23,16,14,15,7,2,2,2.0,1,0.0,1.0
2015-08-01,2.0,34,23,21,13,33,19,11,1,3,1.0,1,0.0,0.0
2015-08-02,0.0,33,24,20,19,23,23,9,1,1,2.0,8,0.0,1.0
2015-08-03,0.0,34,28,16,14,19,16,8,3,4,0.0,2,0.0,1.0
2015-08-04,0.0,42,24,25,10,12,19,7,2,1,0.0,0,1.0,0.0
2015-08-05,0.0,38,22,20,12,13,16,5,3,0,0.0,1,0.0,0.0
2015-08-06,0.0,23,27,27,14,19,20,7,1,0,3.0,0,0.0,0.0
2015-08-07,0.0,38,16,32,16,19,14,10,2,1,1.0,7,2.0,0.0
2015-08-08,2.0,31,18,32,14,31,16,14,0,0,0.0,2,0.0,0.0
2015-08-09,3.0,21,20,27,17,26,16,11,2,2,3.0,2,0.0,0.0
2015-08-10,3.0,38,28,13,16,14,15,11,5,0,2.0,7,2.0,1.0
2015-08-11,1.0,30,19,21,12,19,10,12,0,1,0.0,0,0.0,0.0
2015-08-12,0.0,22,16,19,7,18,16,10,5,2,1.0,1,1.0,1.0
2015-08-13,3.0,31,9,29,20,25,8,6,3,2,3.0,1,0.0,1.0
2015-08-14,0.0,31,20,31,13,25,18,4,0,4,1.0,4,1.0,0.0
2015-08-15,2.0,31,24,23,12,20,19,8,3,0,0.0,0,1.0,1.0
2015-08-16,2.0,22,13,19,16,20,14,9,4,1,1.0,1,1.0,0.0
2015-08-17,1.0,35,26,25,12,14,15,7,1,2,1.0,4,0.0,0.0
2015-08-18,0.0,36,25,23,12,16,19,5,5,3,2.0,1,0.0,2.0
2015-08-19,1.0,34,17,25,15,16,13,9,6,0,2.0,5,1.0,1.0
2015-08-20,1.0,27,24,23,20,16,17,9,1,0,2.0,2,0.0,0.0
2015-08-21,0.0,39,21,31,13,17,18,7,1,1,0.0,0,3.0,0.0
2015-08-22,0.0,32,33,18,19,27,17,11,3,1,1.0,0,1.0,3.0
2015-08-23,1.0,28,20,28,9,24,23,18,1,2,0.0,1,0.0,2.0
2015-08-24,0.0,31,27,21,16,16,17,20,1,2,0.0,0,2.0,0.0
2015-08-25,1.0,34,26,31,13,12,16,18,7,1,0.0,1,2.0,1.0
2015-08-26,0.0,42,31,20,12,14,12,8,1,0,2.0,5,4.0,1.0
2015-08-27,0.0,35,28,28,16,18,12,5,5,1,2.0,4,0.0,0.0
2015-08-28,0.0,39,25,21,12,9,15,6,2,2,1.0,3,0.0,1.0
2015-08-29,0.0,26,27,21,18,16,19,3,3,1,1.0,1,2.0,2.0
2015-08-30,0.0,31,17,19,15,18,13,15,2,1,1.0,2,2.0,0.0
2015-08-31,3.0,43,20,25,9,17,19,9,5,2,1.0,4,0.0,1.0
2015-09-01,0.0,42,27,23,14,18,12,6,4,2,2.0,3,0.0,1.0
2015-09-02,0.0,39,19,18,14,14,11,6,3,1,0.0,3,0.0,3.0
2015-09-03,0.0,33,15,16,11,20,10,6,3,1,2.0,4,0.0,0.0
2015-09-04,0.0,33,23,17,17,23,14,5,1,3,1.0,1,1.0,0.0
2015-09-05,1.0,24,16,37,11,25,16,11,1,1,0.0,2,1.0,1.0
2015-09-06,1.0,22,29,15,7,25,25,8,1,1,0.0,3,1.0,0.0
2015-09-07,1.0,30,23,24,29,24,16,10,1,2,1.0,1,0.0,2.0
2015-09-08,0.0,23,28,15,10,26,19,7,5,0,0.0,0,0.0,0.0
2015-09-09,0.0,23,30,24,19,16,13,11,0,2,0.0,0,1.0,1.0
2015-09-10,1.0,41,21,23,16,17,15,10,0,3,0.0,1,1.0,0.0
2015-09-11,1.0,38,20,27,19,27,12,11,0,0,3.0,4,0.0,0.0
2015-09-12,2.0,25,24,22,16,18,14,7,2,0,1.0,5,0.0,0.0
2015-09-13,1.0,21,18,27,18,23,17,18,0,0,1.0,1,1.0,1.0
2015-09-14,0.0,39,25,23,15,11,13,7,2,1,1.0,0,0.0,0.0
2015-09-15,2.0,34,30,21,11,22,13,14,0,2,2.0,2,0.0,0.0
2015-09-16,1.0,31,14,27,25,19,9,13,0,0,1.0,4,0.0,0.0
2015-09-17,1.0,38,26,26,19,18,16,9,4,1,0.0,2,0.0,2.0
2015-09-18,0.0,30,24,22,12,21,23,6,4,1,1.0,2,1.0,4.0
2015-09-19,0.0,29,18,21,12,18,11,16,2,0,2.0,0,0.0,1.0
2015-09-20,3.0,22,30,28,23,21,10,15,3,0,0.0,2,1.0,2.0
2015-09-21,1.0,41,22,19,15,19,12,8,2,0,2.0,3,1.0,0.0
2015-09-22,0.0,38,22,26,16,24,12,13,5,0,1.0,4,2.0,1.0
2015-09-23,1.0,39,23,31,13,16,16,12,4,0,1.0,2,1.0,0.0
2015-09-24,1.0,26,25,24,9,21,9,7,2,0,1.0,1,1.0,4.0
2015-09-25,1.0,35,25,24,13,21,10,11,3,0,0.0,0,0.0,0.0
2015-09-26,3.0,30,31,16,11,14,8,13,4,0,0.0,0,0.0,2.0
2015-09-27,0.0,28,25,14,8,30,15,8,3,1,0.0,3,1.0,2.0
2015-09-28,1.0,38,26,23,11,19,15,7,3,0,1.0,2,0.0,0.0
